Name,Age,Education,Employment,Income,Poverty Level
Laura Figueroa,29,No Education,Unemployed,17218,Middle Class
John Mcdonald,54,Secondary,Unemployed,9317,Below Poverty Line
Michelle Bryant,33,Secondary,Unemployed,13152,Middle Class
Adrienne Vega,85,Secondary,Self-employed,726118,Above Poverty Line
Veronica Adams,23,Primary,Unemployed,5370,Below Poverty Line
Leslie Gibson,24,Tertiary,Unemployed,11251,Middle Class
John Wright,38,Secondary,Unemployed,10796,Middle Class
Deborah Garrison,81,No Education,Self-employed,485897,Above Poverty Line
Kelly Freeman,69,Secondary,Unemployed,8938,Below Poverty Line
Patrick Macias,60,No Education,Employed,420711,Above Poverty Line
Charles Payne,54,Tertiary,Employed,659921,Above Poverty Line
Megan Morris,50,Primary,Unemployed,6010,Below Poverty Line
Omar Bennett,47,Secondary,Unemployed,7857,Below Poverty Line
Abigail Maldonado,76,Tertiary,Employed,102495,Above Poverty Line
Thomas Harris,25,Primary,Unemployed,10276,Middle Class
Tom James,69,Primary,Self-employed,216960,Above Poverty Line
Steven Williams,39,No Education,Employed,303970,Above Poverty Line
Rebecca Snyder,32,Tertiary,Employed,47718,Middle Class
Terry Burch,47,Secondary,Employed,758126,Above Poverty Line
Margaret Barrett,38,Secondary,Unemployed,12193,Middle Class
Jacob Jones,74,Tertiary,Employed,64380,Middle Class
Melissa Jordan,81,No Education,Employed,300073,Above Poverty Line
Emily Mccall MD,25,Secondary,Self-employed,882674,Above Poverty Line
Jesse Jones,25,No Education,Employed,210292,Above Poverty Line
Matthew Nunez,47,Tertiary,Employed,716645,Above Poverty Line
Jason Davidson,26,Secondary,Unemployed,9419,Below Poverty Line
William Thomas,64,Primary,Employed,576419,Above Poverty Line
Joshua Hammond,46,Tertiary,Self-employed,808938,Above Poverty Line
Vickie Oliver,84,Primary,Self-employed,887427,Above Poverty Line
Robert Grant,40,Tertiary,Employed,793839,Above Poverty Line
James Atkins,25,No Education,Self-employed,906476,Above Poverty Line
Nathan Preston,78,Secondary,Unemployed,9325,Below Poverty Line
Theodore Evans,40,Primary,Employed,102950,Above Poverty Line
Steven Lopez,42,Tertiary,Employed,866421,Above Poverty Line
Timothy Chavez,23,Tertiary,Employed,517022,Above Poverty Line
Megan Turner,20,Secondary,Employed,905144,Above Poverty Line
Sean Jones,19,Primary,Employed,661796,Above Poverty Line
Angel Mckinney,73,No Education,Self-employed,599722,Above Poverty Line
Anthony Dixon,36,No Education,Employed,396686,Above Poverty Line
Patricia Dennis,52,Secondary,Employed,356436,Above Poverty Line
Richard Fernandez,74,No Education,Self-employed,234942,Above Poverty Line
Margaret Hernandez,57,No Education,Unemployed,10987,Middle Class
Kimberly Stewart,72,Primary,Employed,874341,Above Poverty Line
Jeffrey Cochran,34,Primary,Self-employed,363294,Above Poverty Line
Adriana Kidd,24,No Education,Self-employed,650996,Above Poverty Line
Jaime Patterson,18,Primary,Self-employed,440062,Above Poverty Line
Andrea Wong,54,Primary,Self-employed,91713,Middle Class
Sherry Scott,49,Tertiary,Self-employed,419298,Above Poverty Line
Kathleen Rodriguez,52,Primary,Employed,82795,Middle Class
Colton Lara,87,Secondary,Unemployed,11295,Middle Class
Jeffrey Cross,24,Secondary,Employed,403849,Above Poverty Line
James Peterson,32,Secondary,Self-employed,872929,Above Poverty Line
Thomas Gibson,41,Secondary,Unemployed,2338,Below Poverty Line
David Miller,54,Primary,Self-employed,860206,Above Poverty Line
Kathryn Jones,72,Tertiary,Employed,36195,Middle Class
Marissa Moore,42,Secondary,Employed,403215,Above Poverty Line
Susan Holmes,24,Tertiary,Employed,781128,Above Poverty Line
Laurie Huynh,44,No Education,Self-employed,648261,Above Poverty Line
Matthew Simpson,30,Tertiary,Self-employed,572235,Above Poverty Line
Veronica Ortega,51,Secondary,Employed,389883,Above Poverty Line
Breanna Jenkins,79,Secondary,Employed,650842,Above Poverty Line
Derek Parrish,74,Tertiary,Unemployed,5393,Below Poverty Line
Adam Collins,26,Secondary,Self-employed,474670,Above Poverty Line
William Bennett,85,No Education,Self-employed,956635,Above Poverty Line
Ashley Reynolds,43,Secondary,Self-employed,914572,Above Poverty Line
Linda Allen,46,Tertiary,Unemployed,16922,Middle Class
Andrea Coleman,70,Primary,Employed,842353,Above Poverty Line
Joanne Powell,38,Tertiary,Self-employed,518034,Above Poverty Line
Alexander Tate,38,Tertiary,Unemployed,8868,Below Poverty Line
Lori Booker,36,Tertiary,Unemployed,14792,Middle Class
Timothy Phillips,31,No Education,Unemployed,14574,Middle Class
Michael Berry,51,Primary,Self-employed,110892,Above Poverty Line
Brandon Jennings Jr.,73,Secondary,Employed,411072,Above Poverty Line
James Moore,44,No Education,Self-employed,836922,Above Poverty Line
Emily Parker,80,Tertiary,Self-employed,385244,Above Poverty Line
Ashley Jordan,55,Primary,Unemployed,6149,Below Poverty Line
Timothy Phillips,75,Secondary,Employed,481345,Above Poverty Line
Pamela Palmer,53,Tertiary,Unemployed,5625,Below Poverty Line
Patrick Good,51,Tertiary,Self-employed,635278,Above Poverty Line
Gabriel Delacruz,31,No Education,Unemployed,6474,Below Poverty Line
Robert Johnson,80,Secondary,Employed,384610,Above Poverty Line
Jason Moran,25,No Education,Unemployed,12458,Middle Class
Dwayne Montgomery,87,No Education,Unemployed,9277,Below Poverty Line
Ashley Ewing,41,Tertiary,Employed,98371,Middle Class
Heidi Ramirez,49,Tertiary,Employed,819428,Above Poverty Line
Joe Stafford Jr.,85,Secondary,Employed,685256,Above Poverty Line
Leonard Duffy,18,No Education,Employed,685990,Above Poverty Line
Roberta Benson,26,Tertiary,Self-employed,913672,Above Poverty Line
Robert Patel,62,Tertiary,Self-employed,651402,Above Poverty Line
Wendy Rivers,28,Tertiary,Self-employed,322658,Above Poverty Line
Linda Edwards,84,No Education,Employed,259473,Above Poverty Line
Gina Smith,47,Secondary,Employed,235151,Above Poverty Line
Laura Williams,86,Tertiary,Employed,521856,Above Poverty Line
Shelby Berry,19,Secondary,Unemployed,12735,Middle Class
Jose Mitchell,33,Tertiary,Employed,834125,Above Poverty Line
Yvonne Anderson,47,Primary,Unemployed,2308,Below Poverty Line
April Nelson,53,Tertiary,Employed,958280,Above Poverty Line
Don Martin,30,Secondary,Self-employed,221156,Above Poverty Line
Theresa Soto,35,No Education,Self-employed,959410,Above Poverty Line
Jesse Harding,19,Primary,Employed,783390,Above Poverty Line
Dana Mccall,36,No Education,Self-employed,624886,Above Poverty Line
Charles Walker,61,Secondary,Employed,477297,Above Poverty Line
Dustin Cummings,33,Primary,Self-employed,163510,Above Poverty Line
Amanda Mitchell,47,Primary,Self-employed,481668,Above Poverty Line
Haley Hernandez,40,No Education,Unemployed,9886,Below Poverty Line
Chase Davis,68,Primary,Self-employed,599859,Above Poverty Line
Jessica Pierce,55,Primary,Employed,566194,Above Poverty Line
Tanya West,27,Primary,Employed,743260,Above Poverty Line
Stephanie Harris,67,Primary,Employed,929881,Above Poverty Line
Melinda Kemp,80,No Education,Employed,170427,Above Poverty Line
Michael Garcia,74,No Education,Employed,518005,Above Poverty Line
Cynthia Smith,48,No Education,Employed,643598,Above Poverty Line
Michelle Hayes DDS,39,Tertiary,Employed,735675,Above Poverty Line
Frank Gonzales,81,Secondary,Self-employed,505605,Above Poverty Line
Andrew Jacobs,30,Secondary,Self-employed,356218,Above Poverty Line
Brianna Jones,63,Primary,Self-employed,942097,Above Poverty Line
William Graham,42,Tertiary,Self-employed,720553,Above Poverty Line
Virginia Griffin,48,No Education,Self-employed,425360,Above Poverty Line
Elizabeth Lopez,59,No Education,Self-employed,92481,Middle Class
Robert Watson,64,No Education,Unemployed,8714,Below Poverty Line
Kevin Riddle,45,Primary,Employed,653356,Above Poverty Line
Luis Simmons,72,Secondary,Employed,29358,Middle Class
Katrina Thompson,20,Tertiary,Employed,358650,Above Poverty Line
Keith Williams,87,No Education,Self-employed,685263,Above Poverty Line
Robert Mcgee,63,No Education,Self-employed,131841,Above Poverty Line
Kevin Clay,74,Primary,Employed,766778,Above Poverty Line
Juan Miller,75,Primary,Employed,336755,Above Poverty Line
Calvin Willis,54,Primary,Self-employed,993483,Above Poverty Line
Robert Fox,77,Primary,Employed,937036,Above Poverty Line
Alan Martin,45,Secondary,Employed,523950,Above Poverty Line
Alisha Kennedy,63,Secondary,Unemployed,10337,Middle Class
Ashley Kaiser,73,Primary,Employed,95533,Middle Class
Tracy Howard,43,No Education,Self-employed,577073,Above Poverty Line
Alan Rodriguez,60,Primary,Self-employed,986761,Above Poverty Line
Jeanne Carr,79,Secondary,Employed,213949,Above Poverty Line
Diana Lang,41,Primary,Unemployed,3685,Below Poverty Line
Amy Campbell,78,Secondary,Self-employed,922512,Above Poverty Line
Craig Stark,57,Tertiary,Self-employed,585629,Above Poverty Line
Zachary Jefferson,54,Tertiary,Employed,327254,Above Poverty Line
Heather Smith,51,Secondary,Employed,889410,Above Poverty Line
Deborah Jenkins,33,Tertiary,Employed,787298,Above Poverty Line
William Anderson,85,Tertiary,Self-employed,220867,Above Poverty Line
Daniel Mckenzie,21,No Education,Employed,512400,Above Poverty Line
Sarah Vega,32,No Education,Employed,672115,Above Poverty Line
Michael Cox,47,Primary,Unemployed,13718,Middle Class
Mark Cox,24,Tertiary,Unemployed,9478,Below Poverty Line
Grace Rodriguez,57,No Education,Self-employed,35341,Middle Class
Jeremiah Day,63,No Education,Unemployed,8657,Below Poverty Line
Benjamin Brown,58,No Education,Self-employed,852203,Above Poverty Line
John Lopez Jr.,32,Secondary,Employed,332729,Above Poverty Line
Thomas Bennett,50,Primary,Self-employed,484143,Above Poverty Line
Cole Day,57,Secondary,Unemployed,11436,Middle Class
Molly Brooks,71,No Education,Self-employed,677547,Above Poverty Line
Dr. Raymond Lutz DVM,79,No Education,Employed,758875,Above Poverty Line
Valerie Rojas,75,Primary,Self-employed,465093,Above Poverty Line
Stephanie French,47,Primary,Self-employed,88732,Middle Class
Robert Bauer,53,Primary,Unemployed,14022,Middle Class
Patricia Edwards,61,Primary,Self-employed,315082,Above Poverty Line
Tara Bauer,61,Primary,Self-employed,16583,Middle Class
Raymond Martinez,27,Tertiary,Employed,554061,Above Poverty Line
Michelle Crawford,40,Primary,Unemployed,16931,Middle Class
Ian Trujillo,61,Secondary,Employed,760743,Above Poverty Line
Timothy Carroll,61,No Education,Unemployed,17422,Middle Class
Sabrina Mclaughlin,48,Secondary,Unemployed,6349,Below Poverty Line
Jeffrey Vaughn,80,Secondary,Unemployed,8205,Below Poverty Line
Sean Flores,19,Tertiary,Employed,680407,Above Poverty Line
Dawn Gentry,87,Secondary,Self-employed,841936,Above Poverty Line
Hannah Nelson,19,No Education,Self-employed,611642,Above Poverty Line
Shelby Tucker,60,Tertiary,Self-employed,920000,Above Poverty Line
Jennifer Wright,67,Tertiary,Self-employed,121447,Above Poverty Line
James Adams,38,Tertiary,Self-employed,978102,Above Poverty Line
Debra Price,64,Secondary,Unemployed,8682,Below Poverty Line
Jonathon Tate,54,Tertiary,Employed,183627,Above Poverty Line
Brandon Abbott,23,Tertiary,Self-employed,732803,Above Poverty Line
Denise Curtis,18,Primary,Unemployed,15096,Middle Class
Meagan Parsons,57,Tertiary,Employed,672084,Above Poverty Line
Paul Harrington,78,Secondary,Self-employed,926191,Above Poverty Line
Christian Hunter,46,Tertiary,Unemployed,15562,Middle Class
Crystal Smith,72,Secondary,Unemployed,6552,Below Poverty Line
Mark Holmes,27,No Education,Unemployed,10598,Middle Class
Aaron Martinez,77,No Education,Self-employed,392436,Above Poverty Line
Jesse Romero,79,Secondary,Self-employed,29595,Middle Class
Matthew Thomas,38,Secondary,Self-employed,80327,Middle Class
David Patrick,72,Secondary,Unemployed,16908,Middle Class
Norman Dougherty,75,Tertiary,Employed,310820,Above Poverty Line
David Pruitt,56,Secondary,Self-employed,177611,Above Poverty Line
Joshua Guerrero,38,No Education,Self-employed,438705,Above Poverty Line
Brenda Rogers,49,No Education,Employed,550565,Above Poverty Line
Jamie Watkins,72,Tertiary,Employed,811990,Above Poverty Line
Emily Miles,63,Tertiary,Unemployed,7012,Below Poverty Line
Christina Diaz,24,Primary,Unemployed,15130,Middle Class
Alexis Allison,77,Tertiary,Employed,616268,Above Poverty Line
Ariel Grimes,20,Secondary,Employed,235117,Above Poverty Line
Kayla Phillips,30,Primary,Employed,209773,Above Poverty Line
Daniel Christensen,40,No Education,Self-employed,501240,Above Poverty Line
Kelly Anderson,33,Primary,Employed,811863,Above Poverty Line
Jason Henderson,48,No Education,Self-employed,865478,Above Poverty Line
Tina Skinner,71,No Education,Self-employed,136383,Above Poverty Line
Anna Jones,84,No Education,Unemployed,8249,Below Poverty Line
David Howell,38,Primary,Unemployed,13094,Middle Class
George Dougherty MD,77,Tertiary,Self-employed,349411,Above Poverty Line
Nathaniel Mack,85,Secondary,Unemployed,6946,Below Poverty Line
Matthew Holt,44,Secondary,Employed,484499,Above Poverty Line
Michael Sanchez,30,No Education,Unemployed,4640,Below Poverty Line
Angela Smith,78,Tertiary,Employed,298192,Above Poverty Line
Morgan Curry,39,No Education,Self-employed,41276,Middle Class
Maria Allen,57,No Education,Self-employed,983655,Above Poverty Line
Adriana Stephens,26,Secondary,Self-employed,462841,Above Poverty Line
Kelly Neal,55,Tertiary,Self-employed,247315,Above Poverty Line
James Sims,61,Secondary,Employed,559861,Above Poverty Line
Anthony Simpson,74,Tertiary,Self-employed,399751,Above Poverty Line
Autumn Monroe,69,No Education,Unemployed,6815,Below Poverty Line
Victoria Moss,64,Primary,Unemployed,13846,Middle Class
Kenneth Hernandez,43,Primary,Self-employed,289045,Above Poverty Line
Nicole Logan,76,Primary,Self-employed,986732,Above Poverty Line
Jasmine Henry,26,No Education,Employed,563346,Above Poverty Line
Jose Burnett,58,Secondary,Unemployed,1357,Below Poverty Line
Anthony Arnold,54,Secondary,Unemployed,9517,Below Poverty Line
Nathan Manning,62,Tertiary,Employed,515123,Above Poverty Line
Brittany Cervantes,18,Tertiary,Self-employed,68056,Middle Class
Mark Zhang,61,Primary,Self-employed,571246,Above Poverty Line
Tracy Arellano,81,No Education,Employed,785369,Above Poverty Line
Tanya White,60,Tertiary,Unemployed,8269,Below Poverty Line
Brian Malone,65,No Education,Unemployed,8894,Below Poverty Line
Destiny Cook,85,No Education,Employed,790764,Above Poverty Line
Robert Maxwell,19,Tertiary,Unemployed,1529,Below Poverty Line
Jared Oconnor,23,No Education,Self-employed,664476,Above Poverty Line
Michael Campos,74,Primary,Employed,556899,Above Poverty Line
Christopher Olson,76,No Education,Employed,402944,Above Poverty Line
Tracy Russo,21,Secondary,Self-employed,550813,Above Poverty Line
Charles Singh,46,Primary,Unemployed,5253,Below Poverty Line
Jordan Alvarado,43,Tertiary,Unemployed,10492,Middle Class
Kevin Hernandez,20,Secondary,Employed,939513,Above Poverty Line
Lisa Hayes,66,No Education,Employed,777612,Above Poverty Line
Gloria Rodriguez,84,Secondary,Self-employed,469604,Above Poverty Line
Amy Crawford,59,No Education,Unemployed,3180,Below Poverty Line
Melissa Anderson,66,Secondary,Self-employed,835007,Above Poverty Line
Paula Brooks,36,Secondary,Unemployed,12376,Middle Class
Cindy Andrews,55,Primary,Self-employed,297975,Above Poverty Line
Elijah Jarvis,18,Tertiary,Unemployed,7178,Below Poverty Line
Carolyn Hill,43,Tertiary,Self-employed,910327,Above Poverty Line
Jennifer Patel,67,Primary,Self-employed,355677,Above Poverty Line
Frank Wade,78,Primary,Unemployed,10903,Middle Class
Raymond Garcia,67,No Education,Employed,661596,Above Poverty Line
Priscilla Robbins,43,Primary,Employed,220287,Above Poverty Line
Rachel Ferrell,62,Tertiary,Unemployed,16224,Middle Class
Anna Stone,86,Tertiary,Employed,197102,Above Poverty Line
Kevin Bell,87,Tertiary,Unemployed,10515,Middle Class
Russell Jordan,22,Primary,Unemployed,14912,Middle Class
Monique Cross,34,Primary,Employed,597812,Above Poverty Line
Briana Wilson,55,Tertiary,Employed,493071,Above Poverty Line
Danielle Carroll,50,Primary,Employed,297553,Above Poverty Line
Steven Freeman,65,Tertiary,Employed,741837,Above Poverty Line
Sean Ewing,58,No Education,Employed,166368,Above Poverty Line
Katrina Freeman,21,Tertiary,Employed,247394,Above Poverty Line
Stephen Lee,73,Primary,Unemployed,6387,Below Poverty Line
Gabrielle Barnes,41,Tertiary,Self-employed,495305,Above Poverty Line
James Greene,62,Secondary,Employed,783738,Above Poverty Line
Carl Wilson,45,No Education,Employed,590596,Above Poverty Line
Mallory Rhodes,86,Primary,Self-employed,42302,Middle Class
Erin Gallagher,38,Tertiary,Employed,31023,Middle Class
Susan Brown,47,Secondary,Unemployed,7210,Below Poverty Line
Curtis Arnold,78,Tertiary,Self-employed,605381,Above Poverty Line
Deanna Allen,51,No Education,Employed,731780,Above Poverty Line
Michael Sanchez,85,No Education,Unemployed,11905,Middle Class
Victor Wells,75,Tertiary,Unemployed,15766,Middle Class
Christopher Lawrence,21,Tertiary,Unemployed,3779,Below Poverty Line
Kimberly Warren,60,Primary,Employed,240346,Above Poverty Line
John Day,63,No Education,Unemployed,13122,Middle Class
Emily Baker,75,Tertiary,Employed,833440,Above Poverty Line
Alyssa Lopez,87,No Education,Self-employed,647366,Above Poverty Line
Tammy Mays,35,Tertiary,Unemployed,18157,Middle Class
Derrick Washington,62,Tertiary,Self-employed,812169,Above Poverty Line
Robert Brown,43,No Education,Unemployed,11408,Middle Class
Kevin Green,29,No Education,Unemployed,17795,Middle Class
Chad Martinez,31,Primary,Employed,464150,Above Poverty Line
Tammie Chung,59,No Education,Employed,610415,Above Poverty Line
Brittney Valentine,82,Tertiary,Self-employed,433774,Above Poverty Line
Jesse Williams,62,Primary,Self-employed,424366,Above Poverty Line
Wesley Green,45,Tertiary,Employed,504362,Above Poverty Line
Jasmin Walker,53,No Education,Unemployed,16623,Middle Class
Dale Rodriguez,23,No Education,Unemployed,9900,Below Poverty Line
Amanda Huang,38,Primary,Unemployed,4833,Below Poverty Line
James Diaz,81,No Education,Unemployed,15953,Middle Class
Karen Oconnor,71,Primary,Unemployed,13485,Middle Class
Jacob Mccoy,77,Secondary,Employed,709796,Above Poverty Line
David Hicks,41,No Education,Unemployed,5068,Below Poverty Line
Dominique Wood,43,Primary,Unemployed,8021,Below Poverty Line
Lisa Sanders,37,Secondary,Unemployed,13873,Middle Class
Patrick Martinez,34,Secondary,Unemployed,6389,Below Poverty Line
Jason Rodgers,73,Secondary,Employed,555841,Above Poverty Line
Tyler Goodman,50,Secondary,Self-employed,87342,Middle Class
Anna Conley,25,Primary,Unemployed,9406,Below Poverty Line
Kathleen Skinner,67,Primary,Employed,539574,Above Poverty Line
Michael Wells,68,Tertiary,Employed,365694,Above Poverty Line
Barbara Snyder,58,Tertiary,Employed,945867,Above Poverty Line
Rachel Martinez,20,Tertiary,Employed,368218,Above Poverty Line
Brian Santana,76,Secondary,Self-employed,231796,Above Poverty Line
Rebecca Conway,52,Tertiary,Employed,304056,Above Poverty Line
Ann Hayes,18,Secondary,Unemployed,11597,Middle Class
Mrs. Michele Rodriguez MD,85,Primary,Self-employed,793019,Above Poverty Line
Gregory Becker,83,No Education,Self-employed,103839,Above Poverty Line
Amanda Lewis,84,Primary,Unemployed,9811,Below Poverty Line
Cameron Lawson,21,No Education,Unemployed,4246,Below Poverty Line
Jeffrey Lee,36,No Education,Employed,475038,Above Poverty Line
Micheal Jefferson,76,Tertiary,Unemployed,4207,Below Poverty Line
Tyler Brown,32,Primary,Unemployed,2468,Below Poverty Line
Anthony Hoover,27,Secondary,Unemployed,8494,Below Poverty Line
Patrick Hudson,56,No Education,Self-employed,732039,Above Poverty Line
Joshua Gilbert,19,Tertiary,Employed,649166,Above Poverty Line
Andrew Graves,74,Primary,Self-employed,512947,Above Poverty Line
Chad Cole,62,Secondary,Unemployed,12186,Middle Class
Kimberly Boone,21,Primary,Self-employed,337711,Above Poverty Line
Nicholas Byrd,83,Secondary,Unemployed,15384,Middle Class
Chris Watkins,76,No Education,Self-employed,517943,Above Poverty Line
Jason Sanchez,27,Secondary,Unemployed,10869,Middle Class
Rebecca Thomas,24,No Education,Employed,503258,Above Poverty Line
Paul Perez,51,Secondary,Unemployed,13635,Middle Class
Debra Bailey,51,Secondary,Unemployed,9524,Below Poverty Line
Brian Burgess,86,Tertiary,Self-employed,574980,Above Poverty Line
James Fletcher,74,Secondary,Employed,322581,Above Poverty Line
Kayla Bryant,37,Primary,Employed,101889,Above Poverty Line
James Garza,77,Secondary,Employed,57338,Middle Class
Patrick Drake,31,No Education,Unemployed,19144,Middle Class
Tiffany Thompson,61,Tertiary,Self-employed,218972,Above Poverty Line
William Mcdaniel,48,No Education,Self-employed,772205,Above Poverty Line
Stacey Benitez,57,Secondary,Employed,901054,Above Poverty Line
Stephanie Nguyen,69,Tertiary,Employed,654165,Above Poverty Line
David Miller,21,Tertiary,Employed,960841,Above Poverty Line
Courtney Curry,84,Secondary,Employed,420120,Above Poverty Line
Suzanne Gonzalez,77,Tertiary,Self-employed,129265,Above Poverty Line
Dr. Kevin Larson,77,Secondary,Unemployed,16663,Middle Class
Kristin Smith,37,Secondary,Self-employed,606355,Above Poverty Line
Melissa Green,51,Secondary,Employed,879762,Above Poverty Line
Eric Schultz,58,Tertiary,Self-employed,879214,Above Poverty Line
Peter Anderson,69,Secondary,Unemployed,11602,Middle Class
Joel Collins,27,Primary,Unemployed,16371,Middle Class
Derek Thompson,82,Primary,Employed,160748,Above Poverty Line
William Brooks,84,Tertiary,Unemployed,7674,Below Poverty Line
Lindsey Pittman,58,Secondary,Employed,173496,Above Poverty Line
Katie Bullock,26,No Education,Employed,676579,Above Poverty Line
Keith Carter,66,Secondary,Unemployed,14947,Middle Class
Jerry Smith,65,Tertiary,Employed,404247,Above Poverty Line
David Davis,63,Secondary,Self-employed,278420,Above Poverty Line
George Phillips,38,No Education,Self-employed,468071,Above Poverty Line
Andrea Martin,48,Secondary,Employed,691917,Above Poverty Line
Kristy Jones,77,Primary,Unemployed,14927,Middle Class
Julian Chung,65,Tertiary,Employed,249638,Above Poverty Line
Charles Graham,53,No Education,Self-employed,561638,Above Poverty Line
Sophia Bond,19,Tertiary,Self-employed,818467,Above Poverty Line
Travis Collins,78,Tertiary,Employed,324034,Above Poverty Line
Michael Jimenez,32,Primary,Unemployed,11017,Middle Class
Christopher Hart,59,Secondary,Unemployed,6321,Below Poverty Line
Jack Shaw,81,No Education,Unemployed,16588,Middle Class
Claudia Wilson MD,61,Tertiary,Self-employed,553276,Above Poverty Line
Jennifer Clark,86,Tertiary,Employed,999319,Above Poverty Line
Daniel Hogan,32,No Education,Employed,133136,Above Poverty Line
Janice Kim,52,No Education,Unemployed,6798,Below Poverty Line
Tammy Holmes,35,Secondary,Employed,793410,Above Poverty Line
Derek Lynch,37,Primary,Unemployed,13977,Middle Class
Caroline Proctor,46,Secondary,Employed,173832,Above Poverty Line
Shelia Clay,79,Primary,Self-employed,90115,Middle Class
Kristy Marks,66,Tertiary,Unemployed,13595,Middle Class
Tonya Vang,56,Primary,Unemployed,9532,Below Poverty Line
Joanne Erickson,67,Tertiary,Employed,344864,Above Poverty Line
Shelby Kemp,32,Tertiary,Unemployed,7059,Below Poverty Line
Eric Becker,37,Primary,Unemployed,12644,Middle Class
Kent Rodriguez,31,Tertiary,Self-employed,367725,Above Poverty Line
Karen Lin,73,Secondary,Unemployed,10058,Middle Class
William Buchanan,43,Secondary,Unemployed,14584,Middle Class
Michael Nolan,37,Tertiary,Unemployed,8869,Below Poverty Line
Stacie Campos,28,Tertiary,Unemployed,11629,Middle Class
Crystal Campos,73,No Education,Employed,478829,Above Poverty Line
Tonya Mitchell,45,Secondary,Self-employed,592249,Above Poverty Line
James Love,65,Primary,Unemployed,6086,Below Poverty Line
Kristen Curtis,46,Primary,Employed,910981,Above Poverty Line
Elizabeth Keller,82,Tertiary,Self-employed,926517,Above Poverty Line
Linda Watson,27,Primary,Unemployed,8208,Below Poverty Line
Tammy Wilson,59,Tertiary,Unemployed,8384,Below Poverty Line
Willie Ho,61,Secondary,Employed,680982,Above Poverty Line
Kelly Macias,60,Tertiary,Unemployed,5453,Below Poverty Line
Jessica Flores,29,Primary,Employed,651969,Above Poverty Line
Hayley Baker,27,Tertiary,Employed,364552,Above Poverty Line
Patrick Jimenez,58,Primary,Employed,451629,Above Poverty Line
Vanessa Price,23,Secondary,Unemployed,10877,Middle Class
James York,83,No Education,Employed,57563,Middle Class
Brandon Knight,55,Primary,Employed,718222,Above Poverty Line
Joshua Klein,75,Primary,Unemployed,4436,Below Poverty Line
John Miller,48,No Education,Unemployed,9727,Below Poverty Line
John Kent,52,Secondary,Self-employed,596014,Above Poverty Line
Jeffrey Ryan,42,No Education,Unemployed,6402,Below Poverty Line
Wesley Jackson,75,Primary,Self-employed,695447,Above Poverty Line
Shelly Lee,32,Tertiary,Unemployed,15075,Middle Class
Joseph Mueller,76,No Education,Employed,948545,Above Poverty Line
Dustin Williams,53,No Education,Employed,768154,Above Poverty Line
Francis Carter,82,Tertiary,Employed,691443,Above Poverty Line
Amanda Hudson,49,Secondary,Employed,786906,Above Poverty Line
Carolyn Fields,49,Primary,Self-employed,1005415,Above Poverty Line
Rachel Horton,51,Tertiary,Self-employed,190025,Above Poverty Line
Alexandra Wilson,58,Primary,Unemployed,17112,Middle Class
Madison Boyd,55,Secondary,Unemployed,15600,Middle Class
Robert Dunn,37,Tertiary,Employed,778734,Above Poverty Line
Suzanne Rice,37,Secondary,Self-employed,873763,Above Poverty Line
Nancy Wilson,77,Primary,Employed,558263,Above Poverty Line
Fernando Brown,71,Tertiary,Employed,353532,Above Poverty Line
Rhonda Brown,87,No Education,Employed,284560,Above Poverty Line
David Jones,41,Secondary,Employed,543081,Above Poverty Line
Katrina Thompson,45,No Education,Employed,388653,Above Poverty Line
Christina Allen,39,Primary,Unemployed,8861,Below Poverty Line
Nicholas Navarro,43,No Education,Self-employed,100871,Above Poverty Line
Kelsey Kim,49,Secondary,Employed,382365,Above Poverty Line
Katie Wagner,53,Primary,Employed,879437,Above Poverty Line
Francis Lawson,86,Primary,Unemployed,6942,Below Poverty Line
Dr. Amanda Huerta,65,No Education,Employed,311019,Above Poverty Line
Christopher Oneal,20,Secondary,Employed,213012,Above Poverty Line
Danielle Fisher,57,Tertiary,Unemployed,1610,Below Poverty Line
Paul Duncan,57,Tertiary,Unemployed,4375,Below Poverty Line
Jamie Norman,61,No Education,Self-employed,753908,Above Poverty Line
Pamela Huynh,67,Tertiary,Unemployed,9507,Below Poverty Line
Melissa Williams,26,No Education,Self-employed,157092,Above Poverty Line
Nancy Bowman,38,No Education,Unemployed,9504,Below Poverty Line
Kimberly Smith,44,Primary,Self-employed,365142,Above Poverty Line
Summer Bowman,43,No Education,Unemployed,5754,Below Poverty Line
Sherri Long,86,Primary,Employed,176940,Above Poverty Line
Sandra Martin,55,Secondary,Employed,627720,Above Poverty Line
Sandra Ware,71,No Education,Self-employed,283840,Above Poverty Line
Melissa Lewis,55,No Education,Unemployed,16844,Middle Class
Tyler Preston,26,No Education,Employed,421460,Above Poverty Line
Mercedes Hayes,71,No Education,Self-employed,488504,Above Poverty Line
Casey Flores,59,Secondary,Self-employed,106765,Above Poverty Line
Laura Harris,20,No Education,Employed,473519,Above Poverty Line
Mary Hill,68,Secondary,Self-employed,249188,Above Poverty Line
Victoria Calderon,34,No Education,Employed,73110,Middle Class
Robert Fitzpatrick,75,Primary,Self-employed,306036,Above Poverty Line
Crystal Moss,82,No Education,Employed,373187,Above Poverty Line
Kenneth Brown,69,Secondary,Employed,256424,Above Poverty Line
Lydia Douglas,78,Secondary,Employed,773799,Above Poverty Line
Dana Jones,79,Primary,Employed,216868,Above Poverty Line
Jill Collins,27,No Education,Unemployed,5600,Below Poverty Line
Sandra Glass,51,Secondary,Employed,34314,Middle Class
